Epoch,Loss
1,0.5074
2,0.2700
3,0.2272
4,0.2098
5,0.1993
6,0.1909
7,0.1832
8,0.1777
9,0.1705
10,0.1621
11,0.1522
12,0.1464
13,0.1443
14,0.1426
15,0.1408
16,0.1392
17,0.1378
18,0.1367
19,0.1363
20,0.1364
21,0.1350
22,0.1344
23,0.1336
24,0.1329
25,0.1325
26,0.1311
27,0.1301
28,0.1299
29,0.1287
30,0.1277
31,0.1262
32,0.1245
33,0.1240
34,0.1233
35,0.1227
36,0.1216
37,0.1191
38,0.1177
39,0.1163
40,0.1150
41,0.1143
42,0.1133
43,0.1122
44,0.1122
45,0.1118
46,0.1111
47,0.1110
48,0.1108
49,0.1102
50,0.1098
51,0.1093
52,0.1089
53,0.1089
54,0.1090
55,0.1089
56,0.1089
57,0.1088
58,0.1088
59,0.1087
60,0.1087
61,0.1089
62,0.1089
63,0.1087
64,0.1084
65,0.1083
66,0.1083
67,0.1083
68,0.1085
69,0.1085
70,0.1080
71,0.1079
72,0.1079
73,0.1079
74,0.1080
75,0.1079
76,0.1079
77,0.1078
78,0.1078
79,0.1078
80,0.1078
81,0.1080
82,0.1081
83,0.1079
84,0.1080
85,0.1080
86,0.1078
87,0.1077
88,0.1076
89,0.1076
90,0.1076
91,0.1077
92,0.1078
93,0.1080
94,0.1080
95,0.1078
96,0.1079
97,0.1079
98,0.1078
99,0.1076
100,0.1078
101,0.1081
102,0.1082
103,0.1078
104,0.1076
105,0.1077
106,0.1076
107,0.1077
108,0.1076
109,0.1076
110,0.1079
111,0.1076
112,0.1077
113,0.1075
114,0.1078
115,0.1077
116,0.1074
117,0.1077
118,0.1075
119,0.1076
120,0.1076
121,0.1075
122,0.1077
123,0.1076
124,0.1076
125,0.1076
126,0.1076
127,0.1075
128,0.1074
129,0.1073
130,0.1075
131,0.1074
132,0.1074
133,0.1075
134,0.1074
135,0.1076
136,0.1075
137,0.1075
138,0.1074
139,0.1077
140,0.1075
141,0.1075
142,0.1074
143,0.1073
144,0.1074
145,0.1074
146,0.1074
147,0.1077
148,0.1076
149,0.1076
150,0.1075
151,0.1076
152,0.1075
153,0.1076
154,0.1075
155,0.1075
156,0.1075
157,0.1073
158,0.1074
159,0.1076
160,0.1077
161,0.1078
162,0.1077
163,0.1075
164,0.1074
165,0.1074
166,0.1075
167,0.1076
168,0.1076
169,0.1076
170,0.1074
171,0.1074
172,0.1076
173,0.1074
174,0.1075
175,0.1074
176,0.1074
177,0.1074
178,0.1073
179,0.1074
180,0.1075
181,0.1074
182,0.1074
183,0.1074
184,0.1074
185,0.1073
186,0.1074
187,0.1072
188,0.1073
189,0.1074
190,0.1074
191,0.1073
192,0.1074
193,0.1074
194,0.1075
195,0.1076
196,0.1075
197,0.1075
198,0.1073
199,0.1074
200,0.1074
201,0.1074
202,0.1074
203,0.1072
204,0.1072
205,0.1072
206,0.1073
207,0.1073
208,0.1073
209,0.1074
210,0.1073
211,0.1071
212,0.1072
213,0.1072
214,0.1072
215,0.1073
216,0.1072
217,0.1072
218,0.1072
219,0.1073
220,0.1072
221,0.1073
222,0.1072
223,0.1072
224,0.1072
225,0.1071
226,0.1071
227,0.1072
228,0.1073
229,0.1071
230,0.1072
231,0.1072
232,0.1072
233,0.1072
234,0.1071
235,0.1073
236,0.1072
237,0.1072
238,0.1073
239,0.1073
240,0.1073
241,0.1073
242,0.1074
243,0.1072
244,0.1071
245,0.1072
246,0.1071
247,0.1072
248,0.1071
249,0.1071
250,0.1071
251,0.1071
252,0.1072
253,0.1072
254,0.1071
255,0.1072
256,0.1072
257,0.1072
258,0.1072
259,0.1074
260,0.1072
261,0.1073
262,0.1072
263,0.1073
264,0.1072
265,0.1072
266,0.1072
267,0.1072
268,0.1073
269,0.1073
270,0.1074
271,0.1175
272,0.1250
273,0.1204
274,0.1172
275,0.1144
276,0.1119
277,0.1112
278,0.1098
279,0.1091
280,0.1085
281,0.1081
282,0.1079
283,0.1079
284,0.1079
285,0.1076
286,0.1075
287,0.1074
288,0.1074
289,0.1077
290,0.1074
291,0.1074
292,0.1074
293,0.1078
294,0.1074
295,0.1074
296,0.1075
297,0.1072
298,0.1074
299,0.1074
300,0.1075
301,0.1074
302,0.1073
303,0.1074
304,0.1075
305,0.1075
306,0.1074
307,0.1076
308,0.1075
309,0.1078
310,0.1073
311,0.1074
312,0.1074
313,0.1072
314,0.1075
315,0.1073
316,0.1071
317,0.1071
318,0.1072
319,0.1074
320,0.1071
321,0.1071
322,0.1072
323,0.1072
324,0.1074
325,0.1072
326,0.1071
327,0.1072
328,0.1071
329,0.1073
330,0.1073
331,0.1072
332,0.1071
333,0.1071
334,0.1071
335,0.1071
336,0.1071
337,0.1072
338,0.1072
339,0.1072
340,0.1071
341,0.1072
342,0.1071
343,0.1071
344,0.1071
345,0.1070
346,0.1071
347,0.1071
348,0.1070
349,0.1071
350,0.1072
351,0.1071
352,0.1071
353,0.1071
354,0.1070
355,0.1071
356,0.1071
357,0.1071
358,0.1070
359,0.1070
360,0.1070
361,0.1070
362,0.1070
363,0.1070
364,0.1070
365,0.1071
366,0.1070
367,0.1070
368,0.1070
369,0.1070
370,0.1070
371,0.1070
372,0.1070
373,0.1070
374,0.1070
375,0.1070
376,0.1071
377,0.1071
378,0.1070
379,0.1070
380,0.1070
381,0.1070
382,0.1070
383,0.1071
384,0.1071
385,0.1070
386,0.1071
387,0.1071
388,0.1071
389,0.1071
390,0.1071
391,0.1070
392,0.1070
393,0.1070
394,0.1071
395,0.1072
396,0.1071
397,0.1071
398,0.1070
399,0.1070
400,0.1070
401,0.1071
402,0.1071
403,0.1072
404,0.1071
405,0.1071
406,0.1070
407,0.1071
408,0.1071
409,0.1070
410,0.1070
411,0.1070
412,0.1070
413,0.1070
414,0.1070
415,0.1070
416,0.1070
417,0.1070
418,0.1070
419,0.1070
420,0.1070
421,0.1069
422,0.1069
423,0.1069
424,0.1069
425,0.1070
426,0.1070
427,0.1070
428,0.1070
429,0.1070
430,0.1070
431,0.1070
432,0.1070
433,0.1070
434,0.1070
435,0.1070
436,0.1071
437,0.1070
438,0.1070
439,0.1070
440,0.1071
441,0.1070
442,0.1070
443,0.1070
444,0.1070
445,0.1069
446,0.1070
447,0.1070
448,0.1069
449,0.1069
450,0.1070
451,0.1070
452,0.1070
453,0.1070
454,0.1070
455,0.1070
456,0.1070
457,0.1069
458,0.1070
459,0.1070
460,0.1070
461,0.1070
462,0.1070
463,0.1070
464,0.1070
465,0.1070
466,0.1071
467,0.1071
468,0.1071
469,0.1071
470,0.1071
471,0.1071
472,0.1070
473,0.1070
474,0.1070
475,0.1070
476,0.1070
477,0.1070
478,0.1070
479,0.1070
480,0.1071
481,0.1070
482,0.1070
483,0.1070
484,0.1070
485,0.1070
486,0.1070
487,0.1070
488,0.1070
489,0.1070
490,0.1070
491,0.1070
492,0.1070
493,0.1070
494,0.1070
495,0.1070
496,0.1070
497,0.1070
498,0.1070
499,0.1071
500,0.1070
501,0.1070
502,0.1070
503,0.1070
504,0.1069
505,0.1069
506,0.1069
507,0.1069
508,0.1069
509,0.1069
510,0.1069
511,0.1069
512,0.1069
513,0.1069
514,0.1069
515,0.1070
516,0.1069
517,0.1069
518,0.1069
519,0.1070
520,0.1070
521,0.1070
522,0.1069
523,0.1069
524,0.1070
525,0.1069
526,0.1069
527,0.1070
528,0.1070
529,0.1070
530,0.1070
531,0.1070
532,0.1070
533,0.1070
534,0.1070
535,0.1069
536,0.1069
537,0.1069
538,0.1070
539,0.1070
540,0.1070
541,0.1069
542,0.1070
543,0.1070
544,0.1069
545,0.1069
546,0.1069
547,0.1070
548,0.1070
549,0.1070
550,0.1070
551,0.1069
552,0.1069
553,0.1069
554,0.1070
555,0.1069
556,0.1070
557,0.1070
558,0.1070
559,0.1070
560,0.1070
561,0.1070
562,0.1070
563,0.1069
564,0.1069
565,0.1069
566,0.1070
567,0.1070
568,0.1070
569,0.1070
570,0.1069
571,0.1069
572,0.1069
573,0.1069
574,0.1070
575,0.1070
576,0.1071
577,0.1070
578,0.1070
579,0.1070
580,0.1070
581,0.1070
582,0.1069
583,0.1069
584,0.1070
585,0.1070
586,0.1070
587,0.1070
588,0.1070
589,0.1070
590,0.1070
591,0.1070
592,0.1070
593,0.1069
594,0.1070
595,0.1070
596,0.1070
597,0.1070
598,0.1070
599,0.1070
600,0.1070
601,0.1069
602,0.1070
603,0.1070
604,0.1070
605,0.1070
606,0.1069
607,0.1069
608,0.1070
609,0.1069
610,0.1069
611,0.1069
612,0.1070
613,0.1070
614,0.1069
615,0.1069
616,0.1069
617,0.1069
618,0.1069
619,0.1069
620,0.1069
621,0.1069
622,0.1069
623,0.1069
624,0.1069
625,0.1069
626,0.1070
627,0.1069
628,0.1069
629,0.1069
630,0.1069
631,0.1070
